epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,999.375,0.83015,1.47358,0.86564,0.66465,0.57463,0.60514,0.44814,0.95037,1.80696,0.865,0.00023368,0.00023368,0.00023368
44,1021.62,0.81757,1.37425,0.87143,0.65951,0.57842,0.61174,0.44968,0.96004,1.80174,0.86853,0.00022972,0.00022972,0.00022972
45,1042,0.81005,1.34457,0.8764,0.65822,0.5407,0.6136,0.44612,0.95832,1.78982,0.86815,0.00022576,0.00022576,0.00022576
46,1067.2,0.80722,1.30307,0.8728,0.69599,0.55451,0.62885,0.45926,0.96619,1.76715,0.86786,0.0002218,0.0002218,0.0002218
47,1087.66,0.77974,1.23745,0.87124,0.67665,0.54338,0.63586,0.45979,0.94759,1.73526,0.86334,0.00021784,0.00021784,0.00021784
48,1107.99,0.80124,1.29328,0.85921,0.63098,0.63386,0.6466,0.47939,0.93138,1.69926,0.86123,0.00021388,0.00021388,0.00021388
49,1128.26,0.77932,1.18695,0.86724,0.67234,0.5985,0.65178,0.47925,0.93715,1.67234,0.86245,0.00020992,0.00020992,0.00020992
50,1148.01,0.7927,1.28783,0.85033,0.68568,0.59726,0.65662,0.47638,0.95784,1.66467,0.86511,0.00020596,0.00020596,0.00020596
51,1168.19,0.81338,1.26117,0.87208,0.68099,0.60924,0.65733,0.48083,0.9814,1.65001,0.87114,0.000202,0.000202,0.000202
52,1188.43,0.74957,1.16268,0.87849,0.64245,0.61883,0.66128,0.48992,0.96898,1.62166,0.87256,0.00019804,0.00019804,0.00019804
53,1208.38,0.75645,1.12497,0.86885,0.67754,0.61235,0.69052,0.51459,0.92988,1.58346,0.86589,0.00019408,0.00019408,0.00019408
54,1228.34,0.77057,1.12799,0.86111,0.69412,0.63315,0.70516,0.53469,0.91362,1.56659,0.86321,0.00019012,0.00019012,0.00019012
55,1248.41,0.78599,1.19574,0.86813,0.72066,0.62107,0.71368,0.53733,0.91171,1.54879,0.86137,0.00018616,0.00018616,0.00018616
56,1269.47,0.75144,1.10515,0.85913,0.72948,0.61017,0.71324,0.53703,0.91902,1.5259,0.86082,0.0001822,0.0001822,0.0001822
57,1289.77,0.76512,1.09976,0.87882,0.71145,0.63236,0.71496,0.53769,0.95106,1.50712,0.86642,0.00017824,0.00017824,0.00017824
58,1310.39,0.8132,1.10533,0.86683,0.72395,0.63334,0.71579,0.53035,0.9697,1.47639,0.87119,0.00017428,0.00017428,0.00017428
59,1330.51,0.76985,1.07553,0.86013,0.75812,0.61877,0.72568,0.54542,0.9492,1.43257,0.86895,0.00017032,0.00017032,0.00017032
60,1350.64,0.76315,1.11464,0.85572,0.75826,0.61344,0.72997,0.55463,0.91982,1.40369,0.86364,0.00016636,0.00016636,0.00016636
61,1370.41,0.76716,1.04549,0.86332,0.74242,0.63897,0.73781,0.56439,0.90965,1.38561,0.86151,0.0001624,0.0001624,0.0001624
62,1390.35,0.78203,1.05042,0.86751,0.74383,0.64517,0.73893,0.56515,0.90769,1.37591,0.86278,0.00015844,0.00015844,0.00015844
63,1410.67,0.77277,1.08806,0.85603,0.74013,0.65232,0.73926,0.57013,0.90278,1.37735,0.86171,0.00015448,0.00015448,0.00015448
64,1430.89,0.75143,0.99374,0.86466,0.75365,0.648,0.74248,0.56717,0.9048,1.36621,0.85893,0.00015052,0.00015052,0.00015052
65,1450.82,0.74762,1.03294,0.85983,0.75898,0.64438,0.75142,0.56614,0.91616,1.35557,0.85922,0.00014656,0.00014656,0.00014656
66,1470.89,0.74604,1.00458,0.85705,0.75322,0.64752,0.75236,0.57148,0.91833,1.34662,0.8598,0.0001426,0.0001426,0.0001426
67,1490.71,0.73837,0.97883,0.85502,0.75843,0.64597,0.75833,0.57399,0.91577,1.33069,0.86006,0.00013864,0.00013864,0.00013864
68,1510.46,0.77771,1.11969,0.84772,0.77329,0.65094,0.75844,0.56893,0.91274,1.30287,0.85928,0.00013468,0.00013468,0.00013468
69,1530.27,0.75422,0.991,0.85421,0.79006,0.65733,0.75959,0.56614,0.90836,1.2625,0.85808,0.00013072,0.00013072,0.00013072
70,1550.22,0.76529,0.98262,0.85333,0.78905,0.65802,0.75868,0.56806,0.9011,1.23076,0.85678,0.00012676,0.00012676,0.00012676
71,1570.48,0.75075,0.96023,0.85857,0.77551,0.65513,0.75894,0.57274,0.89664,1.2145,0.85611,0.0001228,0.0001228,0.0001228
